Wall time,Step,Value
1695121584.1014378,5,-970.9269409179688
1695121611.2279541,6,-1429.34033203125
1695121717.9743135,10,-908.2600708007812
1695121744.6679273,11,-1421.48388671875
1695121798.060074,13,-600.728271484375
1695121824.691342,14,-1081.5938720703125
1695121852.0141315,15,-1119.87939453125
1695121906.6881604,17,-733.430908203125
1695121933.9928818,18,-757.9584350585938
1695121961.4142413,19,-772.5733032226562
1695121988.6575124,20,-773.809814453125
1695122097.9782064,24,-775.0458374023438
1695122344.0035694,33,-774.8177490234375
1695122371.2527435,34,-774.85107421875
1695122425.9813461,36,-775.1975708007812
1695122507.9954946,39,-774.8792114257812
1695122535.2238336,40,-775.4243774414062
1695122589.823989,42,-772.494140625
1695122598.356352,44,2117.9638671875
1695122602.6181135,45,1916.5098876953125
1695122657.22009,47,-745.8432006835938
1695122711.9769578,49,-859.138916015625
1695122739.288842,50,-871.7932739257812
1695122821.138398,53,-354.2897033691406
1695122848.419659,54,-732.1593017578125
1695122866.1090271,55,1953.0140380859375
1695122893.41148,56,-620.1006469726562
1695122920.7956805,57,-627.0023803710938
1695122984.9778683,60,2067.6650390625
1695122997.8411067,61,2047.29638671875
1695123014.9770267,63,2082.516845703125
1695123054.662498,65,2054.25830078125
1695123075.0425427,66,1988.41650390625
1695123093.2226264,67,2018.62744140625
1695123102.288103,68,2083.72998046875
1695123121.0517533,71,2100.319091796875
1695123131.2866297,72,2077.434814453125
1695123158.569091,73,-242.17848205566406
1695123168.7027125,74,2077.9541015625
1695123200.920568,76,-244.76034545898438
1695123214.8131924,79,2116.960205078125
1695123236.7614524,84,2120.869873046875
1695123241.0303028,85,2120.612548828125
1695123245.2854028,86,2120.823974609375
1695123249.5604944,87,2120.545654296875
1695123253.8159964,88,2120.9697265625
1695123258.0825322,89,2120.69140625
1695123279.440288,94,2120.376953125
1695123313.6571333,102,2120.493408203125
1695123326.5501666,105,2120.0390625
1695123330.8217998,106,2119.785400390625
1695123360.7649126,113,2119.80712890625
1695123419.7543795,116,-250.57472229003906
1695123474.4688702,118,-258.30743408203125
1695123501.7836173,119,-257.3656311035156
1695123506.0726142,120,2118.586669921875
1695123569.2663045,124,-254.68141174316406
1695123596.63718,125,-251.67649841308594
1695123624.030509,126,-245.33970642089844
1695123636.8435133,129,2118.263671875
1695123641.098551,130,2116.92529296875
1695123653.9500988,133,2117.50439453125
1695123671.0352688,137,2117.256591796875
1695123679.564436,139,2117.162109375
1695123688.1281033,141,2117.3935546875
